2001,@ajoyvaldez2856,13 hours ago,Mapagpalang araw Ng linggo mga kapatid ❤❤ pagbati Mula sa lokal Ng Ambiong ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzoWSE4D-YD8eZoEW14AaABAg,UgzoWSE4D-YD8eZoEW14AaABAg,UCcJYRuhoAeAgOVzUzLgRdmg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2585,@ZanderMarilao,1 day ago,¹⁰⁶¹ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxGEVei_VGngtwBVNJ4AaABAg,UgxGEVei_VGngtwBVNJ4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2586,@ZanderMarilao,1 day ago,¹⁰⁶⁰ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwJ1tPSf6KKK8oq7rJ4AaABAg,UgwJ1tPSf6KKK8oq7rJ4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2587,@ZanderMarilao,1 day ago,¹⁰⁵⁹ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzM8vMhURaZGqSj4gZ4AaABAg,UgzM8vMhURaZGqSj4gZ4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2588,@ZanderMarilao,1 day ago,¹⁰⁵⁸ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxDTrVQoxe6nkjro8J4AaABAg,UgxDTrVQoxe6nkjro8J4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2589,@ZanderMarilao,1 day ago,¹⁰⁵⁷ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgytRrPdY7gJGvx0uBd4AaABAg,UgytRrPdY7gJGvx0uBd4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2590,@ZanderMarilao,1 day ago,¹⁰⁵⁶ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzai7Y0V-hS68D6Qd54AaABAg,Ugzai7Y0V-hS68D6Qd54AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2591,@ZanderMarilao,1 day ago,¹⁰⁵⁵ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyHTpL31iXHQ7IbHpJ4AaABAg,UgyHTpL31iXHQ7IbHpJ4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2592,@ZanderMarilao,1 day ago,¹⁰⁵⁴ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzjJ6pIVpT3jcNDCm14AaABAg,UgzjJ6pIVpT3jcNDCm14AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2593,@ZanderMarilao,1 day ago,¹⁰⁵³ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxNsFlnvUiygDTkJ-l4AaABAg,UgxNsFlnvUiygDTkJ-l4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2594,@ZanderMarilao,1 day ago,¹⁰⁵² TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwMPD2y-ViCMvCMvkR4AaABAg,UgwMPD2y-ViCMvCMvkR4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2595,@ZanderMarilao,1 day ago,¹⁰⁵¹ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy6P2qGFpM-FuShfJJ4AaABAg,Ugy6P2qGFpM-FuShfJJ4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2596,@janemendoza1372,1 day ago,Go Benguet... / Fr. Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzc8NrsEbGJIOZAKoF4AaABAg,Ugzc8NrsEbGJIOZAKoF4AaABAg,UC9s8J8XMcHsDsVMR4as530g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2597,@YielAndaya,1 day ago,Magandang gabi po mga kapatid mula po sa aking buong  sambahayan at sa  lokal ng Ambiong. Maligayang panonood po sa ating lahat,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwoyCUTGNh7dBZb7Gx4AaABAg,UgwoyCUTGNh7dBZb7Gx4AaABAg,UCtzPFl0ER6cE878m0ZtYYpQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2598,@janemendoza1372,1 day ago,Magandang gabi po mga kapatid❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgygyYsklAGX0MsBUJZ4AaABAg,UgygyYsklAGX0MsBUJZ4AaABAg,UC9s8J8XMcHsDsVMR4as530g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2599,@RonnAguirre,1 day ago,happy viewing po from lokal ng megaroyale distrito ng benguet.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyN5ycgvKZpoSJcQHl4AaABAg,UgyN5ycgvKZpoSJcQHl4AaABAg,UCUfej0fMnWP-PG_T3G388sg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2600,@ZanderMarilao,1 day ago,¹⁰⁵⁰ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyXFdiKuX6aic4nue14AaABAg,UgyXFdiKuX6aic4nue14AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2601,@ZanderMarilao,1 day ago,¹⁰⁴⁹ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxcZPD7jjJGv9XOGXN4AaABAg,UgxcZPD7jjJGv9XOGXN4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2602,@ZanderMarilao,1 day ago,¹⁰⁴⁸ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzftBAWYw4OrRKq_Kl4AaABAg,UgzftBAWYw4OrRKq_Kl4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2603,@ZanderMarilao,1 day ago,¹⁰⁴⁷ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzwi2zVf9jUQvF7ozZ4AaABAg,Ugzwi2zVf9jUQvF7ozZ4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2604,@ZanderMarilao,1 day ago,¹⁰⁴⁶ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz4sGfC7TXlpkIi_Dh4AaABAg,Ugz4sGfC7TXlpkIi_Dh4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2605,@ZanderMarilao,1 day ago,¹⁰⁴⁵ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxTYmiinhUjzl1Yg9F4AaABAg,UgxTYmiinhUjzl1Yg9F4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2606,@ZanderMarilao,1 day ago,¹⁰⁴³ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz4orLJTuS_b-FqlE14AaABAg,Ugz4orLJTuS_b-FqlE14AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2607,@ZanderMarilao,1 day ago,¹⁰⁴² TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyS4aWwutrj5iUURRp4AaABAg,UgyS4aWwutrj5iUURRp4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2608,@ZanderMarilao,1 day ago,¹⁰⁴¹ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwK6x0iG5Upt8NQMOp4AaABAg,UgwK6x0iG5Upt8NQMOp4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2609,@ZanderMarilao,1 day ago,¹⁰⁴⁰ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwreHl7J3uJCeyHfK14AaABAg,UgwreHl7J3uJCeyHfK14AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2610,@ZanderMarilao,1 day ago,¹⁰³⁹ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx4xV9hU6bhD6n7VN14AaABAg,Ugx4xV9hU6bhD6n7VN14AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2611,@ZanderMarilao,1 day ago,¹⁰³⁸ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwA_YwL8e0LAWCwNvF4AaABAg,UgwA_YwL8e0LAWCwNvF4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2612,@ZanderMarilao,1 day ago,¹⁰³⁷ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx7jExhfToCSrPVGL54AaABAg,Ugx7jExhfToCSrPVGL54AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2613,@ZanderMarilao,1 day ago,¹⁰³⁶ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz8T46GgHp8gOknZW14AaABAg,Ugz8T46GgHp8gOknZW14AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2614,@ZanderMarilao,1 day ago,¹⁰³⁵ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz_b3j8fd4fScyk_Mt4AaABAg,Ugz_b3j8fd4fScyk_Mt4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2615,@JoeannAndaya,1 day ago,Happy viewing everyone mula po sa.lokal ng Ambiong❤️❤️❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw_no-0J512ysEYlPB4AaABAg,Ugw_no-0J512ysEYlPB4AaABAg,UCbjdfoSmupyh-INYDScuBWg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2616,@ZanderMarilao,1 day ago,¹⁰³⁴ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwkUuh6KYYlNGLSqFR4AaABAg,UgwkUuh6KYYlNGLSqFR4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2617,@vhladbunag1121,1 day ago,Happy viewing mode... / Hello to all brethren... / Greetings from Locale of Quezon Hill District of Benguet!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxy2ULj57IQ53ECOzt4AaABAg,Ugxy2ULj57IQ53ECOzt4AaABAg,UCHH_VRtlJD6DzNISAPGErTg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2618,@ZanderMarilao,1 day ago,¹⁰³³ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz8JZZ0ETHSxB4FMWl4AaABAg,Ugz8JZZ0ETHSxB4FMWl4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2619,@ZanderMarilao,1 day ago,¹⁰³² TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyNjdWc4SeA7OWtVsl4AaABAg,UgyNjdWc4SeA7OWtVsl4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2620,@ZanderMarilao,1 day ago,¹⁰³¹ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzBy5YF6CsgY3yorHd4AaABAg,UgzBy5YF6CsgY3yorHd4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2621,@ZanderMarilao,1 day ago,¹⁰³⁰ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz3jraAXiK6_V4xEXd4AaABAg,Ugz3jraAXiK6_V4xEXd4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2622,@NancyMoyano-r7u,1 day ago,"Watching from Baguio City, Benguet ❤❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxAH0IaLIQYhJqgEz54AaABAg,UgxAH0IaLIQYhJqgEz54AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2623,@Julskie28,1 day ago,Let's Go Benguet ❤ /  / Haply rewatching po muli sa ating lahat! /  / From KADIWAs of benguet ❤ / Lokal ng Guisad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzd991aIvlSRI2LHxp4AaABAg,Ugzd991aIvlSRI2LHxp4AaABAg,UC1nz0UiWHV8lyoQdZtJejeg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2624,@ZanderMarilao,1 day ago,¹⁰²⁹ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxTpWg9COFddyIePHV4AaABAg,UgxTpWg9COFddyIePHV4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2625,@ZanderMarilao,1 day ago,¹⁰²⁸ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxcjF4Z2vmc174z4c94AaABAg,UgxcjF4Z2vmc174z4c94AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2626,@clarkpiloneo6778,1 day ago,Happpy viewwingg po from lokal ng La Trinidad!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyVXJS2uoORSTl9St94AaABAg,UgyVXJS2uoORSTl9St94AaABAg,UC-rMw-abFKutSmzfhWFDgJw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2627,@KhloeVeniz,1 day ago,"Gods love  / Go  Baguio city , Benguet ❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwJ_HDHOU0zxt2o0e94AaABAg,UgwJ_HDHOU0zxt2o0e94AaABAg,UCvbTRyIYlYF3dM-8cxWECOg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2628,@ZanderMarilao,1 day ago,¹⁰²⁷ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxi-zOfSXza_Td0PbN4AaABAg,Ugxi-zOfSXza_Td0PbN4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2629,@ZanderMarilao,1 day ago,¹⁰²⁶ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgypjE5yRX5PRNCMYKx4AaABAg,UgypjE5yRX5PRNCMYKx4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2630,@ZanderMarilao,1 day ago,¹⁰²⁵ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzH1mDQ63MfDAh-XPJ4AaABAg,UgzH1mDQ63MfDAh-XPJ4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2631,@eichriishh,1 day ago,Happy viewing po from Lokal ng La Trinidad!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz2xmvtIX5jwastQON4AaABAg,Ugz2xmvtIX5jwastQON4AaABAg,UCe_supvfwKS_8Dd4Nz-s7KA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2632,@ZanderMarilao,1 day ago,¹⁰²⁴ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw3xK5cekJ1HXIG8AN4AaABAg,Ugw3xK5cekJ1HXIG8AN4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2633,@rovelintipay7457,1 day ago,#GodsLove / #goBenguet / Mula sa Lokal ng City Camp,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwbcLUn0qh8x58Xx-F4AaABAg,UgwbcLUn0qh8x58Xx-F4AaABAg,UCK6aIH06PIgctrC72wMsdAg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2634,@ZanderMarilao,1 day ago,¹⁰²³ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz35iqnCdFuDK-PpvJ4AaABAg,Ugz35iqnCdFuDK-PpvJ4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2635,@clarkpiloneo6778,1 day ago,Letss goo Benguett!!! Lets goo LA TRINIDAD!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx97tj0QISC8yAj5vN4AaABAg,Ugx97tj0QISC8yAj5vN4AaABAg,UC-rMw-abFKutSmzfhWFDgJw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2636,@nelmacaganda7734,1 day ago,"Happy Viewing po mga kapatid! Tuloy lang po ang ating pagsuporta 🙏🏻 /  / From Lokal ng Megaroyale Village, Distrito ng Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxXwIGm3LxeITB2IU54AaABAg,UgxXwIGm3LxeITB2IU54AaABAg,UCXf4yWkyTkEZESbzF52KJuQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2637,@ZanderMarilao,1 day ago,¹⁰²² TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxZJ_t8lzw7gvtVyuh4AaABAg,UgxZJ_t8lzw7gvtVyuh4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2638,@ZanderMarilao,1 day ago,¹⁰²¹ TUBLAY 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwJZLf7TjX8PLx-Bmd4AaABAg,UgwJZLf7TjX8PLx-Bmd4AaABAg,UCv7EFTamFGdRVGJs7wRwFXQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2639,@clarkpiloneo6778,1 day ago,Support and love po from La Trinidad!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyOJzjc9F-q7GoUY1N4AaABAg,UgyOJzjc9F-q7GoUY1N4AaABAg,UC-rMw-abFKutSmzfhWFDgJw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2640,@abetsky17,1 day ago,Happy viewing po lokal ng latri,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzQWvqj8isCgzeg47x4AaABAg,UgzQWvqj8isCgzeg47x4AaABAg,UC3P447ggOUfHfgNlLhN15Lg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2641,@clarkpiloneo6778,1 day ago,Mulaaa po sa lokal ng La Trinidad!! Happy viewingg po!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxfhmbFgROdozJ5Ww94AaABAg,UgxfhmbFgROdozJ5Ww94AaABAg,UC-rMw-abFKutSmzfhWFDgJw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2642,@luibustamante9493,1 day ago,Good evening at masayang panonood  po sa lahat ng kapatid at maytungkulin. Pagbati mula po aa lokal ng Tuba.  /  /  / -kadiwa MT,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz3dgvYS9UgTeWqPpx4AaABAg,Ugz3dgvYS9UgTeWqPpx4AaABAg,UCFAmrhDmv6rvZrQoYp-IS9w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2643,@khristinerosec.tabelin3847,1 day ago,Happy Viewing po❤🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxh88rweyMRfKmMnj54AaABAg,Ugxh88rweyMRfKmMnj54AaABAg,UC0l9sh-LyNj5UdDziMecmPA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2644,@melbareboquiao4135,1 day ago,Happy viewing  from local ng camp 6,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwZMicNN6udPC5xv-h4AaABAg,UgwZMicNN6udPC5xv-h4AaABAg,UCSHO2Tl6ADWfh8Ml3M3dDIg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2645,@frederickcauso,1 day ago,"Quezon hill,",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwEQ-X4RMhExGqRm3l4AaABAg,UgwEQ-X4RMhExGqRm3l4AaABAg,UC9UKrTFjf2vc1tt5ZiTpOFw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2646,@CharmynePelayo,1 day ago,Pagbati po mula po sa local ng camp 6 distrito ng Benguet po❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyzqQulM3poQEdIPH54AaABAg,UgyzqQulM3poQEdIPH54AaABAg,UCgQVzYQ0MtmmXMrh-mq76WQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2647,@henrycaranto2644,1 day ago,Let’s Go Benguet!🎉 / Fight! Fight! Fight!❤ /  / Hello po sa lahat mula po sa lokal ng Baguio City😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwlfwwOI7oNKgC4LCZ4AaABAg,UgwlfwwOI7oNKgC4LCZ4AaABAg,UCFilTOy22FklSkBIgwVPVaQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2648,@frederickcauso,1 day ago,Mula sa lokal ng Quezon hill,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyTAy06pAcyRKZoIlp4AaABAg,UgyTAy06pAcyRKZoIlp4AaABAg,UC9UKrTFjf2vc1tt5ZiTpOFw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2649,@jepjep9698,1 day ago,Fight fight benguet. Watching from lokal ng sayatan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw10xmdAbGgBsEtD2Z4AaABAg,Ugw10xmdAbGgBsEtD2Z4AaABAg,UCEcs8evyYbz6BONzJbrCT7g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2650,@frederickcauso,1 day ago,Go Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxq1SxEOv71ly7Aomt4AaABAg,Ugxq1SxEOv71ly7Aomt4AaABAg,UC9UKrTFjf2vc1tt5ZiTpOFw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2651,@daisycastaneda7972,1 day ago,HAPPY VIEWING  / FULL  SUPPORT  / LOKAL NG BAGUIO  CITY / KALIHIMAN/ REGISTRY.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz4Pk0WYQ22wXUWi514AaABAg,Ugz4Pk0WYQ22wXUWi514AaABAg,UCD3NlGp4eLYcR2RGC7FwnKQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2652,@daisycastaneda7972,1 day ago,"WATCHING GOD'S LOVE INCVM AWARD, GO ! BENGUET.  / WATCHING  ALL THE WAY FROM BAGUIO  CITY / KALIHIMAN/ REGISTRY CLERKS.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyIEfveIKSuTBURROx4AaABAg,UgyIEfveIKSuTBURROx4AaABAg,UCD3NlGp4eLYcR2RGC7FwnKQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2653,@marilyndaniwes983,1 day ago,Gogo local Ng Ambiong nuod na Po tayu ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxRWt-CWSakB8g5Lcd4AaABAg,UgxRWt-CWSakB8g5Lcd4AaABAg,UC82ldAYIsmzxHPcbaRh3wVg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2654,@daisycastaneda7972,1 day ago,Masayang PANONOOD sa lahat ng mga kalihim sa lokal ng BAGIUIO city / Kalihiman/ Registry.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzGQ0jWJ_ru2CSM9HR4AaABAg,UgzGQ0jWJ_ru2CSM9HR4AaABAg,UCD3NlGp4eLYcR2RGC7FwnKQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2655,@ruthgonito9434,1 day ago,Happy watching po mga kapatid ♥️ from Locale of Pembo MME,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwIrq0CfALtq8SexQB4AaABAg,UgwIrq0CfALtq8SexQB4AaABAg,UCnK9j_21VZvZSPfGzxufPjQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2656,@gwynethcayabyab5981,1 day ago,Good evening po sa lahat ng kapatid🎉 keep on watching po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyN9cKA5xGPmlqi2o94AaABAg,UgyN9cKA5xGPmlqi2o94AaABAg,UCouodNvhL1bfJC2Fz0B_Rcw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2657,@drewbatinay1449,1 day ago,let’s go Benguet! Supporting from La Trinidad❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzhGSvtNNbXrkeaEQt4AaABAg,UgzhGSvtNNbXrkeaEQt4AaABAg,UCQgz35ptm_7_RPT-Pc80itg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2658,@MayaSterling-b1y,1 day ago,Ang cinematic ng shots! 📸✨ Mula sa lokal ng Baguio City 🎶,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyCD1Bi0Np0xtRsURx4AaABAg,UgyCD1Bi0Np0xtRsURx4AaABAg,UCv-VK0Sum0z4uLoa_r5UZ9A,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2659,@MayaSterling-b1y,1 day ago,Galing ng performance ninyo! 👏🎤 Mula sa lokal ng Baguio City ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwQ3McnOEpuBYO6zgd4AaABAg,UgwQ3McnOEpuBYO6zgd4AaABAg,UCv-VK0Sum0z4uLoa_r5UZ9A,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
